"pre_req","course","pre_dept","course_dept"
"OR 428","CS 261","OR","CS"
"OR 429","CS 261","OR","CS"
"OR 430","CS 312","OR","CS"
"OR 429","CS 321","OR","CS"
"OR 429","CS 321H","OR","CS"
"OR 429","CS 325","OR","CS"
"OR 429","CS 325H","OR","CS"
"OR 435","CS 344","OR","CS"
"OR 436","CS 372","OR","CS"
"OR 429","CS 381","OR","CS"
"OR 438","CS 395","OR","CS"
"OR 440","CS 420","OR","CS"
"OR 441","CS 440","OR","CS"
"OR 443","CS 444","OR","CS"
"OR 430","CS 444","OR","CS"
"OR 444","CS 450","OR","CS"
"OR 445","CS 476","OR","CS"
"OR 446","CS 476","OR","CS"
"OR 447","CS 480","OR","CS"
"OR 429","CS 491","OR","CS"
"CS 162","OR 428","CS","OR"
"CS 165","OR 428","CS","OR"
"CS 225","OR 429","CS","OR"
"MTH 231","OR 429","MTH","OR"
"CS 311","OR 430","CS","OR"
"CS 344","OR 430","CS","OR"
"CS 271","OR 435","CS","OR"
"ECE 271","OR 435","ECE","OR"
"ECE 271","OR 436","ECE","OR"
"CS 271","OR 436","CS","OR"
"ART 120","OR 438","ART","OR"
"OR 428","OR 438","OR","OR"
"CS 325","OR 440","CS","OR"
"CS 325H","OR 440","CS","OR"
"CS 275","OR 441","CS","OR"
"CS 340","OR 441","CS","OR"
"CS 271","OR 443","CS","OR"
"ECE 375","OR 443","ECE","OR"
"MTH 306","OR 444","MTH","OR"
"MTH 306H","OR 444","MTH","OR"
"MTH 341","OR 444","MTH","OR"
"CS 372","OR 445","CS","OR"
"ECE 372","OR 445","ECE","OR"
"ECE 353","OR 446","ECE","OR"
"ST 314","OR 446","ST","OR"
"ST 314H","OR 446","ST","OR"
"CS 344","OR 447","CS","OR"
"CS 311","OR 447","CS","OR"
"MTH 111","CS 151","MTH","CS"
"MTH 112","CS 151","MTH","CS"
"MTH 251","CS 151","MTH","CS"
"MTH 251H","CS 151","MTH","CS"
"MTH 112","CS 161","MTH","CS"
"EECS 161","CS 162","EECS","CS"
"MTH 112","CS 165","MTH","CS"
"MTH 111","CS 225","MTH","CS"
"MTH 112","CS 225","MTH","CS"
"ECE 151","CS 271","ECE","CS"
"ECE 151","CS 352","ECE","CS"
"MTH 355","CS 427","MTH","CS"
"ECE 375","CS 472","ECE","CS"
"ECE 372","CS 478","ECE","CS"
"MTH 252","CS 491","MTH","CS"
"ROB 537","CS 535","ROB","CS"
"CS 161","CS 162","CS","CS"
"CS 261","CS 262","CS","CS"
"CS 151","CS 271","CS","CS"
"CS 161","CS 271","CS","CS"
"CS 165","CS 271","CS","CS"
"CS 162","CS 290","CS","CS"
"CS 165","CS 290","CS","CS"
"CS 195","CS 295","CS","CS"
"CS 372","CS 312","CS","CS"
"CS 261","CS 321","CS","CS"
"CS 261","CS 321H","CS","CS"
"CS 261","CS 325","CS","CS"
"CS 261","CS 325H","CS","CS"
"CS 325","CS 331","CS","CS"
"CS 325H","CS 331","CS","CS"
"CS 290","CS 340","CS","CS"
"CS 261","CS 344","CS","CS"
"CS 151","CS 352","CS","CS"
"CS 161","CS 352","CS","CS"
"CS 165","CS 352","CS","CS"
"CS 295","CS 352","CS","CS"
"CS 261","CS 361","CS","CS"
"CS 261","CS 362","CS","CS"
"CS 344","CS 370","CS","CS"
"CS 261","CS 372","CS","CS"
"CS 344","CS 373","CS","CS"
"CS 340","CS 373","CS","CS"
"CS 372","CS 373","CS","CS"
"CS 261","CS 381","CS","CS"
"CS 195","CS 395","CS","CS"
"CS 261","CS 427","CS","CS"
"CS 325","CS 434","CS","CS"
"CS 325H","CS 434","CS","CS"
"CS 261","CS 440","CS","CS"
"CS 261","CS 446","CS","CS"
"CS 344","CS 447","CS","CS"
"CS 261","CS 450","CS","CS"
"CS 361","CS 458","CS","CS"
"CS 361","CS 461","CS","CS"
"CS 362","CS 462","CS","CS"
"CS 461","CS 462","CS","CS"
"CS 462","CS 463","CS","CS"
"CS 261","CS 464","CS","CS"
"CS 361","CS 464","CS","CS"
"CS 344","CS 467","CS","CS"
"CS 361","CS 467","CS","CS"
"CS 362","CS 467","CS","CS"
"CS 352","CS 468","CS","CS"
"CS 261","CS 475","CS","CS"
"CS 344","CS 477","CS","CS"
"CS 370","CS 477","CS","CS"
"CS 372","CS 478","CS","CS"
"CS 321","CS 480","CS","CS"
"CS 261","CS 491","CS","CS"
"CS 344","CS 492","CS","CS"
"CS 290","CS 493","CS","CS"
"CS 340","CS 493","CS","CS"
"CS 372","CS 493","CS","CS"
"CS 344","CS 496","CS","CS"
"CS 311","CS 496","CS","CS"
"CS 534","CS 535","CS","CS"
"CS 561","CS 560","CS","CS"
"CS 561","CS 563","CS","CS"
"CS 581","CS 582","CS","CS"
"CS 581","CS 583","CS","CS"
"CS 581","CS 585","CS","CS"
"CS 535","CS 637","CS","CS"
"CS 537","CS 637","CS","CS"
