"course","order"
"CS 151",1
"CS 161",1
"CS 162",2
"CS 165",1
"CS 225",1
"CS 261",1
"OR 428",1
"OR 429",1
"CS 262",1
"CS 271",4
"CS 290",2
"CS 295",1
"CS 312",1
"OR 430",1
"CS 321",1
"CS 321H",1
"CS 325",1
"CS 325H",1
"CS 331",2
"CS 340",1
"CS 344",1
"OR 435",1
"CS 352",5
"CS 361",1
"CS 362",1
"CS 370",1
"CS 372",1
"OR 436",1
"CS 373",3
"CS 381",1
"CS 395",1
"OR 438",1
"CS 420",1
"OR 440",1
"CS 427",2
"CS 434",2
"CS 440",1
"OR 441",1
"CS 444",1
"OR 443",1
"CS 446",1
"CS 447",1
"CS 450",1
"OR 444",1
"CS 458",1
"CS 461",1
"CS 462",2
"CS 463",1
"CS 464",2
"CS 467",3
"CS 468",1
"CS 472",1
"CS 475",1
"CS 476",1
"OR 445",1
"OR 446",1
"CS 477",2
"CS 478",2
"CS 480",1
"OR 447",1
"CS 491",1
"CS 492",1
"CS 493",3
"CS 496",2
"CS 535",2
"CS 560",1
"CS 563",1
"CS 582",1
"CS 583",1
"CS 585",1
"CS 637",2
"ECE 271",1
"ECE 353",1
"ECE 372",1
"ECE 375",1
"MTH 111",2
"MTH 112",1
"MTH 231",1
"MTH 251",2
"MTH 251H",2
"MTH 252",2
"MTH 306",2
"MTH 306H",2
"MTH 341",2
"MTH 355",1
"ST 314",2
"CS 534",1
"ROB 537",1
"ST 314H",1
"CS 561",1
"CS 581",1
"EECS 161",1
"CS 311",1
"ECE 151",1
"CS 537",1
"ART 120",1
"CS 195",1
"CS 275",1
